name,count,mean,std
FractionCurrying,9,0.0009772966471207,0.0312476389828609
FractionFunctionCalls,9,0.0053394355453852,0.0728853666158138
FractionFunctions,9,0.0642406069692426,0.2451829148992187
FractionHigherOrderCalls,9,0.0253017590746785,0.1570417788928776
FractionInnerVariableAssignment,9,0.0,0.0
FractionLazyValues,9,0.0029723570791637,0.0544409388529327
FractionNestedMethods,9,0.0,0.0
FractionOuterVariableAssignment,9,0.0005437869321958,0.0233130391772133
FractionOuterVariableUsage,9,0.0036802558654077,0.0605540412190704
FractionPatternMatching,9,0.0146943313233357,0.1203269833068117
FractionRecursiveCalls,9,0.0,0.0
FractionSideEffectCalls,9,0.0026311832807096,0.051229458841688
FractionSideEffectFunctions,9,0.0005471457231442,0.0233868789661308
FractionSideEffects,9,0.0994642441183321,0.2993191901252298
FractionVariableDefinitions,9,0.0,0.0
FractionVariables,9,0.003877412429626,0.0621487145054918
FunctionalScoreFraction,9,0.4435364041604754,0.7139023926994595
HasFunctionParameters,9,0.0479664417289804,0.2137147451784435
HasMultipleParameterLists,9,0.1770928323910268,0.3817820643322614
HasPointsFraction,9,0.4619811306467978,0.4924666720028963
ImperativeScoreFraction,9,0.2497088283251805,0.784318383566403
IsFunction,9,0.021050024764735,0.1435688884671517
IsNested,9,0.0380293106092137,0.1912691390705852
IsSideEffect,9,0.0994642441183321,0.2993191901252298
ParadigmScoreFraction,9,0.2241127209889671,0.5374016272482198
